	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_verbosity	param_use_label_encoder	param_subsample	param_objective	param_n_estimators	param_min_child_weight	param_max_depth	param_learning_rate	param_gamma	param_eta	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.25812816619873047	0.028313160816363956	0.00426483154296875	0.0005434853252011647	0	False	0.615	binary:logistic	235	18	4	0.2648	0.02	0.13	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.615, 'objective': 'binary:logistic', 'n_estimators': 235, 'min_child_weight': 18, 'max_depth': 4, 'learning_rate': 0.2648, 'gamma': 0.02, 'eta': 0.13}	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37
1	0.11085190773010253	0.0028555224058152313	0.0045449256896972655	0.0006044245960801526	0	False	0.715	binary:logistic	80	8	4	0.1766	0.3	0.07	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.715, 'objective': 'binary:logistic', 'n_estimators': 80, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.1766, 'gamma': 0.3, 'eta': 0.07}	0.6896551724137931	0.6896551724137931	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.6949096880131364	0.017909488610096537	1
2	0.40859222412109375	0.013361912432719097	0.004513692855834961	0.0008463233655970532	0	False	0.595	binary:logistic	247	4	6	0.3873	0.24	0.93	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.595, 'objective': 'binary:logistic', 'n_estimators': 247, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.3873, 'gamma': 0.24, 'eta': 0.93}	0.7272727272727272	0.608695652173913	0.5	0.625	0.75	0.6421936758893281	0.08999714445347624	17
3	0.09407362937927247	0.004265437211105549	0.004197835922241211	0.00027905535532441405	0	False	0.525	binary:logistic	68	16	11	0.2158	0.435	0.45	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.525, 'objective': 'binary:logistic', 'n_estimators': 68, 'min_child_weight': 16, 'max_depth': 11, 'learning_rate': 0.2158, 'gamma': 0.435, 'eta': 0.45}	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37
4	0.2775886058807373	0.010559584298257187	0.004076194763183594	0.0001913249543710023	0	False	0.9450000000000001	binary:logistic	248	20	14	0.2501	0.215	0.48	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.9450000000000001, 'objective': 'binary:logistic', 'n_estimators': 248, 'min_child_weight': 20, 'max_depth': 14, 'learning_rate': 0.2501, 'gamma': 0.215, 'eta': 0.48}	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37
5	0.3069417476654053	0.007969362901353114	0.004280519485473633	0.00018737063574262908	0	False	0.735	binary:logistic	108	2	11	0.0247	0.465	0.55	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.735, 'objective': 'binary:logistic', 'n_estimators': 108, 'min_child_weight': 2, 'max_depth': 11, 'learning_rate': 0.0247, 'gamma': 0.465, 'eta': 0.55}	0.7200000000000001	0.6	0.375	0.6666666666666665	0.7826086956521738	0.628855072463768	0.14046515876742258	24
6	0.31403841972351076	0.007306082760611568	0.004234695434570312	0.00012641856881793283	0	False	0.725	binary:logistic	192	5	15	0.0394	0.49	0.97	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.725, 'objective': 'binary:logistic', 'n_estimators': 192, 'min_child_weight': 5, 'max_depth': 15, 'learning_rate': 0.0394, 'gamma': 0.49, 'eta': 0.97}	0.75	0.7	0.4	0.588235294117647	0.75	0.6376470588235295	0.132704109291451	18
7	0.15209493637084961	0.0037008813067268493	0.004244661331176758	0.00023475205192896947	0	False	0.9550000000000001	binary:logistic	130	10	4	0.1521	0.03	0.09	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.9550000000000001, 'objective': 'binary:logistic', 'n_estimators': 130, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1521, 'gamma': 0.03, 'eta': 0.09}	0.6896551724137931	0.6896551724137931	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.6949096880131364	0.017909488610096537	1
8	0.2959237575531006	0.007840848507523056	0.004126596450805664	0.00024842480998233394	0	False	0.94	binary:logistic	256	11	2	0.1668	0.335	0.43	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.94, 'objective': 'binary:logistic', 'n_estimators': 256, 'min_child_weight': 11, 'max_depth': 2, 'learning_rate': 0.1668, 'gamma': 0.335, 'eta': 0.43}	0.6896551724137931	0.6896551724137931	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.6949096880131364	0.017909488610096537	1
9	0.10268101692199708	0.0022713118271305804	0.004316997528076172	0.0005757578041559207	0	False	0.64	binary:logistic	87	14	6	0.1472	0.14	0.25	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.64, 'objective': 'binary:logistic', 'n_estimators': 87, 'min_child_weight': 14, 'max_depth': 6, 'learning_rate': 0.1472, 'gamma': 0.14, 'eta': 0.25}	0.6896551724137931	0.6896551724137931	0.6666666666666666	0.7142857142857143	0.7142857142857143	0.6949096880131364	0.017909488610096537	1
