	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_verbosity	param_use_label_encoder	param_subsample	param_objective	param_n_estimators	param_min_child_weight	param_max_depth	param_learning_rate	param_gamma	param_eta	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.13149147033691405	0.01729295685372628	0.004118537902832032	8.239127948321262e-05	0	False	0.6799999999999999	binary:logistic	105	19	6	0.08839999999999999	0.24	0.7000000000000001	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.6799999999999999, 'objective': 'binary:logistic', 'n_estimators': 105, 'min_child_weight': 19, 'max_depth': 6, 'learning_rate': 0.08839999999999999, 'gamma': 0.24, 'eta': 0.7000000000000001}	0.691358024691358	0.7228915662650602	0.775	0.5970149253731343	0.759493670886076	0.7091516374431257	0.06316702886039924	6
1	0.7292109966278076	0.016036148259175455	0.004414033889770508	0.00023918526401659618	0	False	0.99	binary:logistic	182	1	6	0.2109	0.095	0.16	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.99, 'objective': 'binary:logistic', 'n_estimators': 182, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.2109, 'gamma': 0.095, 'eta': 0.16}	0.5396825396825397	0.6956521739130435	0.7142857142857142	0.6461538461538462	0.676470588235294	0.6544489724540875	0.06164938646337092	41
2	0.45566349029541015	0.02191985181807848	0.004051971435546875	0.00013570113644618633	0	False	0.56	binary:logistic	288	12	12	0.4853	0.25	0.71	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.56, 'objective': 'binary:logistic', 'n_estimators': 288, 'min_child_weight': 12, 'max_depth': 12, 'learning_rate': 0.4853, 'gamma': 0.25, 'eta': 0.71}	0.676056338028169	0.6571428571428571	0.7397260273972603	0.6129032258064516	0.7384615384615384	0.6848579973672553	0.0487994419893647	21
3	0.24141283035278321	0.012783331444612748	0.004200601577758789	0.00025748061225285576	0	False	0.76	binary:logistic	193	20	2	0.3824	0.365	0.42	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.76, 'objective': 'binary:logistic', 'n_estimators': 193, 'min_child_weight': 20, 'max_depth': 2, 'learning_rate': 0.3824, 'gamma': 0.365, 'eta': 0.42}	0.6666666666666667	0.6933333333333334	0.7397260273972603	0.634920634920635	0.7777777777777778	0.7024848880191346	0.05096576486459885	8
4	0.6998407363891601	0.008402843889054313	0.00430607795715332	6.659607515730911e-05	0	False	0.725	binary:logistic	277	4	8	0.2452	0.28	0.19	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.725, 'objective': 'binary:logistic', 'n_estimators': 277, 'min_child_weight': 4, 'max_depth': 8, 'learning_rate': 0.2452, 'gamma': 0.28, 'eta': 0.19}	0.6857142857142857	0.6956521739130435	0.676056338028169	0.634920634920635	0.6571428571428571	0.669897257943798	0.02162159674703266	30
5	0.36139469146728515	0.0172917180358756	0.00443120002746582	0.00041135947086155415	0	False	0.75	binary:logistic	214	15	9	0.45589999999999997	0.11	0.31	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.75, 'objective': 'binary:logistic', 'n_estimators': 214, 'min_child_weight': 15, 'max_depth': 9, 'learning_rate': 0.45589999999999997, 'gamma': 0.11, 'eta': 0.31}	0.6086956521739131	0.6666666666666667	0.7123287671232875	0.676470588235294	0.7352941176470589	0.6798911583692441	0.043306059487470856	24
6	0.19782061576843263	0.005044664099719803	0.004652738571166992	0.0007619002984169765	0	False	0.81	binary:logistic	114	19	10	0.3334	0.045	0.74	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.81, 'objective': 'binary:logistic', 'n_estimators': 114, 'min_child_weight': 19, 'max_depth': 10, 'learning_rate': 0.3334, 'gamma': 0.045, 'eta': 0.74}	0.6478873239436619	0.7012987012987013	0.6933333333333334	0.5396825396825397	0.7671232876712328	0.6698650371858939	0.07540358875631618	31
7	0.10500249862670899	0.006502400781211648	0.004246377944946289	0.00019583816449036004	0	False	0.56	binary:logistic	82	18	15	0.0541	0.28	0.9400000000000001	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.56, 'objective': 'binary:logistic', 'n_estimators': 82, 'min_child_weight': 18, 'max_depth': 15, 'learning_rate': 0.0541, 'gamma': 0.28, 'eta': 0.9400000000000001}	0.7415730337078651	0.7415730337078651	0.7415730337078651	0.735632183908046	0.7499999999999999	0.7420702570063282	0.004584131372247401	1
8	0.1964264392852783	0.009886103922545478	0.004358100891113281	0.00026402023477631423	0	False	0.94	binary:logistic	112	19	3	0.49019999999999997	0.335	0.23	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.94, 'objective': 'binary:logistic', 'n_estimators': 112, 'min_child_weight': 19, 'max_depth': 3, 'learning_rate': 0.49019999999999997, 'gamma': 0.335, 'eta': 0.23}	0.6666666666666666	0.6849315068493151	0.7466666666666666	0.676056338028169	0.7272727272727273	0.700318781096709	0.031088714573931468	10
9	0.2813254356384277	0.01127620327852073	0.004105901718139649	5.4528492174496515e-05	0	False	0.785	binary:logistic	102	6	11	0.2697	0.375	0.6900000000000001	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.785, 'objective': 'binary:logistic', 'n_estimators': 102, 'min_child_weight': 6, 'max_depth': 11, 'learning_rate': 0.2697, 'gamma': 0.375, 'eta': 0.6900000000000001}	0.6086956521739131	0.7123287671232875	0.6857142857142857	0.6153846153846154	0.6567164179104478	0.6557679476613099	0.03985830800480559	39
