	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_verbosity	param_use_label_encoder	param_subsample	param_objective	param_n_estimators	param_min_child_weight	param_max_depth	param_learning_rate	param_gamma	param_eta	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	1.7386059761047363	0.10611625029161283	0.008688783645629883	0.0004865142816023291	0	False	0.56	binary:logistic	154	19	13	0.0345	0.005	0.59	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.56, 'objective': 'binary:logistic', 'n_estimators': 154, 'min_child_weight': 19, 'max_depth': 13, 'learning_rate': 0.0345, 'gamma': 0.005, 'eta': 0.59}	0.7415730337078651	0.7415730337078651	0.7415730337078651	0.735632183908046	0.7499999999999999	0.7420702570063282	0.004584131372247401	1
1	1.6216459274291992	0.04742676060667283	0.010780715942382812	0.0021473551840062895	0	False	0.845	binary:logistic	102	11	2	0.2158	0.11	0.28	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.845, 'objective': 'binary:logistic', 'n_estimators': 102, 'min_child_weight': 11, 'max_depth': 2, 'learning_rate': 0.2158, 'gamma': 0.11, 'eta': 0.28}	0.64	0.676056338028169	0.7222222222222221	0.5333333333333333	0.7428571428571429	0.6628938072881734	0.07402336238368859	31
2	4.392405033111572	0.21361426198103786	0.009833955764770507	0.00046014490768989173	0	False	0.66	binary:logistic	289	3	8	0.4755	0.43	1.0	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.66, 'objective': 'binary:logistic', 'n_estimators': 289, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.4755, 'gamma': 0.43, 'eta': 1.0}	0.611111111111111	0.7352941176470589	0.6376811594202899	0.5483870967741935	0.7297297297297297	0.6524406429364766	0.07154217529886407	39
3	2.904168701171875	0.06672234826947011	0.010072994232177734	0.0008013378952062267	0	False	0.925	binary:logistic	164	9	10	0.3726	0.315	0.99	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.925, 'objective': 'binary:logistic', 'n_estimators': 164, 'min_child_weight': 9, 'max_depth': 10, 'learning_rate': 0.3726, 'gamma': 0.315, 'eta': 0.99}	0.6753246753246752	0.6666666666666666	0.6666666666666666	0.5423728813559322	0.7246376811594203	0.6551337142346723	0.06036472437296292	38
4	4.265895986557007	0.04145119414033498	0.011826515197753906	0.0016341032631671745	0	False	0.74	binary:logistic	235	2	10	0.3922	0.185	0.27	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.74, 'objective': 'binary:logistic', 'n_estimators': 235, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.3922, 'gamma': 0.185, 'eta': 0.27}	0.611111111111111	0.7246376811594203	0.7222222222222221	0.6229508196721311	0.7058823529411764	0.6773608374212122	0.04982087296562641	16
5	2.373236322402954	0.01923990031512301	0.011005401611328125	0.0011897448780777166	0	False	0.885	binary:logistic	125	9	13	0.2158	0.295	0.96	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.885, 'objective': 'binary:logistic', 'n_estimators': 125, 'min_child_weight': 9, 'max_depth': 13, 'learning_rate': 0.2158, 'gamma': 0.295, 'eta': 0.96}	0.7012987012987013	0.6470588235294118	0.7027027027027027	0.5666666666666667	0.7246376811594203	0.6684729150713806	0.0569680034462531	25
6	3.656570863723755	0.05746173984343256	0.010986948013305664	0.0005746016283299377	0	False	0.76	binary:logistic	249	10	5	0.3971	0.14	0.46	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.76, 'objective': 'binary:logistic', 'n_estimators': 249, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.3971, 'gamma': 0.14, 'eta': 0.46}	0.6486486486486487	0.6478873239436619	0.7428571428571429	0.6461538461538462	0.6984126984126984	0.6767919320031996	0.0384663039422102	19
7	1.9229717254638672	0.025448548568301903	0.009775781631469726	0.0004657151034347498	0	False	0.925	binary:logistic	114	17	13	0.2256	0.305	0.12	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.925, 'objective': 'binary:logistic', 'n_estimators': 114, 'min_child_weight': 17, 'max_depth': 13, 'learning_rate': 0.2256, 'gamma': 0.305, 'eta': 0.12}	0.7435897435897436	0.6865671641791046	0.704225352112676	0.5373134328358209	0.721311475409836	0.6786014336254362	0.07311629822448996	15
8	1.9517168045043944	0.0580496207058351	0.011239767074584961	0.0017846878501211786	0	False	0.6	binary:logistic	91	4	7	0.1815	0.225	0.53	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.6, 'objective': 'binary:logistic', 'n_estimators': 91, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.1815, 'gamma': 0.225, 'eta': 0.53}	0.6666666666666667	0.6571428571428571	0.6857142857142857	0.4918032786885246	0.7352941176470589	0.6473242411718786	0.08230406928260871	41
9	2.391049337387085	0.05105219322371363	0.011361312866210938	0.0016754049678557985	0	False	0.915	binary:logistic	115	4	10	0.402	0.335	0.16	{'verbosity': 0, 'use_label_encoder': False, 'subsample': 0.915, 'objective': 'binary:logistic', 'n_estimators': 115, 'min_child_weight': 4, 'max_depth': 10, 'learning_rate': 0.402, 'gamma': 0.335, 'eta': 0.16}	0.6133333333333334	0.6666666666666667	0.6470588235294118	0.5846153846153846	0.7246376811594203	0.6472623778608434	0.04783164484777566	42
